period_dt,broad_group,total_value,total_qty,unit_price
2018-12-01,Gallium/Germanium,174700174.0,14498952.342,12.049158441188563
2018-12-01,Graphite,61642761.0,43322975.0,1.4228653733959868
2018-12-01,Polysilicon,8809521.0,197296.0,44.651290446841294
2018-12-01,Rare Earths,200992126.0,12905878.0,15.573688671162087
2019-01-01,Gallium/Germanium,175581397.0,15314633.139,11.464943065000181
2019-01-01,Graphite,61588458.0,41106407.0,1.4982690654524975
2019-01-01,Polysilicon,8586987.0,110794.0,77.50407964330198
2019-01-01,Rare Earths,200751649.0,12605274.589,15.926003640982644
2019-02-01,Gallium/Germanium,133154873.0,11228030.55,11.859147729162528
2019-02-01,Graphite,53503078.0,32474534.397,1.6475394949755653
2019-02-01,Polysilicon,7420265.0,56194.403,132.04633564663015
2019-02-01,Rare Earths,130455810.0,7191471.902,18.14034898248289
2019-03-01,Gallium/Germanium,140612901.0,13516322.85,10.403191945063668
2019-03-01,Graphite,73243702.0,39508220.372,1.8538851234086156
2019-03-01,Polysilicon,7374983.0,163543.1,45.09504222434331
2019-03-01,Rare Earths,179526772.0,10757561.45,16.68842635335353
2019-04-01,Gallium/Germanium,115578916.0,12310966.199000001,9.388289605521644
2019-04-01,Graphite,51936756.0,35762506.634,1.4522683359846726
2019-04-01,Polysilicon,5595124.0,70623.198,79.22501612005732
2019-04-01,Rare Earths,184196989.0,10437494.353,17.647625260468487
2019-05-01,Gallium/Germanium,138750008.0,13811959.0,10.045642909887004
2019-05-01,Graphite,64976919.0,36348082.0,1.7876299222610976
2019-05-01,Polysilicon,4900459.0,56899.088,86.12544018280222
2019-05-01,Rare Earths,189947576.0,12192955.8,15.578468348093248
2019-06-01,Gallium/Germanium,141646391.0,14677000.826,9.650908430084462
2019-06-01,Graphite,69023424.0,41269344.344,1.6725107969890747
2019-06-01,Polysilicon,5018261.0,78609.0,63.83825007314684
2019-06-01,Rare Earths,201956013.0,11234069.789,17.97710151291281
2019-07-01,Gallium/Germanium,110096927.0,12529926.167,8.786717936931002
2019-07-01,Graphite,58193615.0,37187722.0,1.5648609775021982
2019-07-01,Polysilicon,5669656.0,157539.209,35.98885658998072
2019-07-01,Rare Earths,215423446.0,13136510.014,16.398833919390793
2019-08-01,Gallium/Germanium,149242149.0,15173933.896,9.835428968050383
2019-08-01,Graphite,70659068.0,38847694.0,1.818874191090982
2019-08-01,Polysilicon,4290142.0,115516.811,37.138681053097976
2019-08-01,Rare Earths,188941650.0,12590439.913,15.006755229014054
2019-09-01,Gallium/Germanium,139121118.0,14076939.72,9.882909266304651
2019-09-01,Graphite,54264817.0,32962027.0,1.6462827665301045
2019-09-01,Polysilicon,6671314.0,200384.105,33.29263067048157
2019-09-01,Rare Earths,182419313.0,10144781.0,17.9815920126812
2019-10-01,Gallium/Germanium,132321946.0,13329404.663,9.927070964189543
2019-10-01,Graphite,52262064.0,31063430.0,1.6824305622399072
2019-10-01,Polysilicon,4676527.0,160467.541,29.143133688326415
2019-10-01,Rare Earths,181510472.0,10950412.958,16.575673693419443
2019-11-01,Gallium/Germanium,136346611.0,13787299.804,9.889290356944501
2019-11-01,Graphite,62269544.0,36717955.0,1.6958881288459555
2019-11-01,Polysilicon,5271738.0,79692.573,66.15093228323798
2019-11-01,Rare Earths,182331446.0,9190623.0,19.838855973093445
2019-12-01,Gallium/Germanium,188847975.0,17173501.27,10.996474861529503
2019-12-01,Graphite,55781723.0,39680095.0,1.4057860244538225
2019-12-01,Polysilicon,8519080.0,315955.342,26.96292439961341
2019-12-01,Rare Earths,201894002.0,11875720.525,17.000568645496983
2020-01-01,Gallium/Germanium,115900261.0,12977688.0,8.930732577328103
2020-01-01,Graphite,52981457.0,43648502.0,1.2138207400565546
2020-01-01,Polysilicon,5222480.0,156747.0,33.31789444136092
2020-01-01,Rare Earths,197745773.0,13599374.438000001,14.540799203781727
2020-02-01,Gallium/Germanium,67113219.0,7138482.657,9.401608468459154
2020-02-01,Graphite,36491661.0,23283618.998,1.567267571382891
2020-02-01,Polysilicon,3946400.0,109681.0,35.98070768866075
2020-02-01,Rare Earths,73897985.0,3737592.7800000003,19.771545309973547
2020-03-01,Gallium/Germanium,251765881.0,23273971.436,10.817486894848143
2020-03-01,Graphite,73945842.0,51427762.0,1.4378584469610014
2020-03-01,Polysilicon,6747104.0,211088.22999999998,31.963430646985863
2020-03-01,Rare Earths,202213077.0,13633071.125,14.83254030921811
2020-04-01,Gallium/Germanium,153791890.0,14903136.115,10.319431347420126
2020-04-01,Graphite,73126656.0,47616887.0,1.5357294566526367
2020-04-01,Polysilicon,5564486.0,170226.0,32.68881369473523
2020-04-01,Rare Earths,193486721.0,10941596.0,17.683592137746633
2020-05-01,Gallium/Germanium,132916913.0,13252046.390999999,10.029916065662828
2020-05-01,Graphite,52126908.0,26898982.025,1.9378766063174095
2020-05-01,Polysilicon,4699631.0,88499.543,53.10344935905488
2020-05-01,Rare Earths,169149781.0,8468910.123,19.97302823424945
2020-06-01,Gallium/Germanium,111492773.0,11772608.502,9.47052413923889
2020-06-01,Graphite,49388689.0,23792226.284,2.075833022537001
2020-06-01,Polysilicon,6242307.0,188521.676,33.111879400011276
2020-06-01,Rare Earths,167514273.0,8891869.0,18.83903968895628
2020-07-01,Gallium/Germanium,117024984.0,12323065.091,9.496418556246024
2020-07-01,Graphite,67127847.0,29224854.953,2.296943718213704
2020-07-01,Polysilicon,8243962.0,228871.56,36.02003674025729
2020-07-01,Rare Earths,177020239.0,9081605.975,19.492173464396533
2020-08-01,Gallium/Germanium,100381578.0,11750048.571,8.543077706738103
2020-08-01,Graphite,70227756.0,32797721.202,2.1412388856978737
2020-08-01,Polysilicon,5416801.0,45155.351,119.95922698065175
2020-08-01,Rare Earths,176912485.0,10019217.376,17.657315772365173
2020-09-01,Gallium/Germanium,137809052.0,14063725.992,9.79890052454031
2020-09-01,Graphite,73216469.0,40723534.569,1.7978908209930928
2020-09-01,Polysilicon,5893870.0,48025.681,122.72329881173367
2020-09-01,Rare Earths,182058412.0,10535703.529,17.280138103627916
2020-10-01,Gallium/Germanium,150435253.0,16651787.428,9.034180483654442
2020-10-01,Graphite,70582246.0,40454828.0,1.7447174908270529
2020-10-01,Polysilicon,6569190.0,128531.152,51.10971074156404
2020-10-01,Rare Earths,185701507.0,10145870.0,18.303162469063768
2020-11-01,Gallium/Germanium,157166501.0,16734681.208,9.391663877341546
2020-11-01,Graphite,84691012.0,47685514.0,1.7760322768042303
2020-11-01,Polysilicon,8478819.0,434147.998,19.52978947054824
2020-11-01,Rare Earths,201023931.0,10955218.968,18.34960410989386
2020-12-01,Gallium/Germanium,187616439.0,17373628.042,10.798921131869827
2020-12-01,Graphite,96101608.0,40644889.0,2.36442048101054
2020-12-01,Polysilicon,6486484.0,92386.216,70.2105171187009
2020-12-01,Rare Earths,240281480.0,13017850.225,18.457846406817144
2021-01-01,Gallium/Germanium,197147843.0,19596555.11,10.06033161917304
2021-01-01,Graphite,71594353.0,52557925.736,1.3621989832631625
2021-01-01,Polysilicon,6642697.0,98941.062,67.13791893602274
2021-01-01,Rare Earths,261746785.0,13033608.0,20.082450308464086
2021-02-01,Gallium/Germanium,168814652.0,14130046.482,11.947211370822439
2021-02-01,Graphite,75653800.0,32276031.535,2.3439622655579986
2021-02-01,Polysilicon,9607842.0,820325.109,11.712236885827176
2021-02-01,Rare Earths,202529913.0,10067968.236,20.116264598036224
2021-03-01,Gallium/Germanium,239097396.0,21086458.077,11.338907422332577
2021-03-01,Graphite,87233203.0,49400935.0,1.7658208898272876
2021-03-01,Polysilicon,9602191.0,187390.075,51.24172664961044
2021-03-01,Rare Earths,245741114.0,12162655.0,20.20456175070328
2021-04-01,Gallium/Germanium,229445654.0,18578497.785,12.35006493287369
2021-04-01,Graphite,80339787.0,47674299.0,1.685180247747324
2021-04-01,Polysilicon,8102027.0,71935.126,112.62963520770089
2021-04-01,Rare Earths,288492133.0,12206260.472,23.634767885035185
2021-05-01,Gallium/Germanium,241402950.0,19726491.821000002,12.237500321421189
2021-05-01,Graphite,71348944.0,42713778.66,1.670396444387063
2021-05-01,Polysilicon,8769394.0,118822.149,73.80268808301051
2021-05-01,Rare Earths,306347990.0,13002458.8,23.560773751499983
