period_dt,broad_group,yoy_growth_pct
2023-12-01,Rare Earths,-27.315730468147617
2024-01-01,Rare Earths,-22.41590170309887
2024-02-01,Rare Earths,-22.623604219801546
2024-03-01,Rare Earths,-25.458512058966875
2024-04-01,Rare Earths,-29.78395286375235
2024-05-01,Rare Earths,-27.694509308517357
2024-06-01,Rare Earths,-22.69000334040726
2024-07-01,Rare Earths,-16.78254795542469
2024-08-01,Rare Earths,-12.494423635550705
2024-09-01,Rare Earths,-13.27230677000856
2024-10-01,Rare Earths,-8.965979691011967
2024-11-01,Rare Earths,-8.06760930199002
2024-12-01,Rare Earths,-1.9863436570532598
