period_dt,broad_group,Adversary,Intermediary
2024-05-01,Graphite,55711154.0,45090176.0
2024-05-01,Polysilicon,11579133.0,48475554.0
2024-05-01,Rare Earths,181816409.0,117362177.0
2024-06-01,Gallium/Germanium,228581397.0,16041344.0
2024-06-01,Graphite,57649479.0,29911829.0
2024-06-01,Polysilicon,9869673.0,55384379.0
2024-06-01,Rare Earths,200413048.0,111658049.0
2024-07-01,Gallium/Germanium,161667510.0,18433190.0
2024-07-01,Graphite,39757714.0,24077336.0
2024-07-01,Polysilicon,6886294.0,73878581.0
2024-07-01,Rare Earths,188674377.0,126753422.0
2024-08-01,Gallium/Germanium,190204586.0,15872469.0
2024-08-01,Graphite,45740714.0,31154778.0
2024-08-01,Polysilicon,9819472.0,50796052.0
2024-08-01,Rare Earths,182404905.0,119930832.0
2024-09-01,Gallium/Germanium,170064557.0,28996629.0
2024-09-01,Graphite,42990032.0,34161873.0
2024-09-01,Polysilicon,10932578.0,42069124.0
2024-09-01,Rare Earths,168648462.0,104072261.0
2024-10-01,Gallium/Germanium,163254296.0,26672494.0
2024-10-01,Graphite,37599295.0,32632365.0
2024-10-01,Polysilicon,7438238.0,28793461.0
2024-10-01,Rare Earths,158660509.0,115357764.0
2024-11-01,Gallium/Germanium,151567300.0,116192386.0
2024-11-01,Graphite,50623733.0,36096974.0
2024-11-01,Polysilicon,8033958.0,33196340.0
2024-11-01,Rare Earths,162331276.0,109225399.0
2024-12-01,Gallium/Germanium,198337254.0,107650072.0
2024-12-01,Graphite,44006884.0,43664147.0
2024-12-01,Polysilicon,8847606.0,50670577.0
2024-12-01,Rare Earths,194110958.0,101196271.0
