period_dt,broad_group,bloc,qty
2020-01-01,Gallium/Germanium,Intermediary,1976076.0
2020-01-01,Graphite,Adversary,33031961.0
2020-01-01,Graphite,Intermediary,10616541.0
2020-01-01,Polysilicon,Adversary,77754.0
2020-01-01,Polysilicon,Intermediary,78993.0
2020-01-01,Rare Earths,Adversary,8330119.438
2020-01-01,Rare Earths,Intermediary,5269255.0
2020-02-01,Gallium/Germanium,Adversary,5949547.0
2020-02-01,Gallium/Germanium,Intermediary,1188935.6570000001
2020-02-01,Graphite,Adversary,18548004.0
2020-02-01,Graphite,Intermediary,4735614.998
2020-02-01,Polysilicon,Adversary,61681.0
2020-02-01,Polysilicon,Intermediary,48000.0
2020-02-01,Rare Earths,Adversary,2370075.0
2020-02-01,Rare Earths,Intermediary,1367517.78
2020-03-01,Gallium/Germanium,Adversary,20782856.436
2020-03-01,Gallium/Germanium,Intermediary,2491115.0
2020-03-01,Graphite,Adversary,37201034.0
2020-03-01,Graphite,Intermediary,14226728.0
2020-03-01,Polysilicon,Adversary,210951.205
2020-03-01,Polysilicon,Intermediary,137.025
2020-03-01,Rare Earths,Adversary,8877111.0
2020-03-01,Rare Earths,Intermediary,4755960.125
2020-04-01,Gallium/Germanium,Adversary,13425312.0
2020-04-01,Gallium/Germanium,Intermediary,1477824.115
2020-04-01,Graphite,Adversary,35315057.0
2020-04-01,Graphite,Intermediary,12301830.0
2020-04-01,Polysilicon,Adversary,169581.0
2020-04-01,Polysilicon,Intermediary,645.0
2020-04-01,Rare Earths,Adversary,7139777.0
2020-04-01,Rare Earths,Intermediary,3801819.0
2020-05-01,Gallium/Germanium,Adversary,11838958.326
2020-05-01,Gallium/Germanium,Intermediary,1413088.065
2020-05-01,Graphite,Adversary,18460961.025
2020-05-01,Graphite,Intermediary,8438021.0
2020-05-01,Polysilicon,Adversary,72029.543
2020-05-01,Polysilicon,Intermediary,16470.0
2020-05-01,Rare Earths,Adversary,6053202.123
2020-05-01,Rare Earths,Intermediary,2415708.0
2020-06-01,Gallium/Germanium,Adversary,10528083.502
2020-06-01,Gallium/Germanium,Intermediary,1244525.0
2020-06-01,Graphite,Adversary,17916957.284
2020-06-01,Graphite,Intermediary,5875269.0
2020-06-01,Polysilicon,Adversary,174066.528
2020-06-01,Polysilicon,Intermediary,14455.148
2020-06-01,Rare Earths,Adversary,5801451.0
2020-06-01,Rare Earths,Intermediary,3090418.0
2020-07-01,Gallium/Germanium,Adversary,10766256.447
2020-07-01,Gallium/Germanium,Intermediary,1556808.6439999999
2020-07-01,Graphite,Adversary,19819209.0
2020-07-01,Graphite,Intermediary,9405645.953
2020-07-01,Polysilicon,Adversary,228648.0
2020-07-01,Polysilicon,Intermediary,223.56
2020-07-01,Rare Earths,Adversary,4656399.975
