period_dt,bloc,val,qty,uv,hs6,broad_group
2019-01-01,Intermediary,180380.0,608.0,296.67763157894734,280461,Polysilicon
2019-02-01,Adversary,7334016.0,55966.403,131.04319032259409,280461,Polysilicon
2019-02-01,Intermediary,86201.0,219.0,393.61187214611874,280461,Polysilicon
2019-03-01,Adversary,7300836.0,163331.7,44.69944291279647,280461,Polysilicon
2019-03-01,Intermediary,72679.0,206.4,352.1269379844961,280461,Polysilicon
2019-04-01,Adversary,5271456.0,56077.0,94.00388751181411,280461,Polysilicon
2019-04-01,Intermediary,323668.0,14546.198,22.251037693835872,280461,Polysilicon
2019-05-01,Adversary,4745554.0,50232.972,94.47089851661573,280461,Polysilicon
2019-05-01,Intermediary,154868.0,6663.0,23.242983641002553,280461,Polysilicon
2019-06-01,Adversary,4817958.0,78078.0,61.70698532236994,280461,Polysilicon
2019-06-01,Intermediary,200303.0,531.0,377.2184557438795,280461,Polysilicon
2019-07-01,Adversary,5510646.0,117525.513,46.88893380963162,280461,Polysilicon
2019-07-01,Intermediary,158901.0,40012.695999999996,3.971264520641149,280461,Polysilicon
2019-08-01,Adversary,4268435.0,115398.0,36.98881263106813,280461,Polysilicon
2019-08-01,Intermediary,21522.0,103.811,207.31907023340491,280461,Polysilicon
2019-09-01,Adversary,6459916.0,199824.955,32.327874163664895,280461,Polysilicon
2019-09-01,Intermediary,211398.0,559.15,378.07028525440404,280461,Polysilicon
2019-10-01,Adversary,4628666.0,158639.941,29.17717928299028,280461,Polysilicon
2019-10-01,Intermediary,47861.0,1827.6,26.187896695119285,280461,Polysilicon
2019-11-01,Adversary,5220647.0,79388.573,65.76068573496087,280461,Polysilicon
2019-11-01,Intermediary,50236.0,300.0,167.45333333333335,280461,Polysilicon
2019-12-01,Adversary,6610126.0,104729.368,63.11625980594096,280461,Polysilicon
2019-12-01,Intermediary,1908954.0,211225.974,9.037496496524618,280461,Polysilicon
2020-01-01,Adversary,4292562.0,77754.0,55.20696041361216,280461,Polysilicon
2020-01-01,Intermediary,929918.0,78993.0,11.772157026571975,280461,Polysilicon
2020-02-01,Adversary,3864800.0,61681.0,62.65786871159676,280461,Polysilicon
2020-02-01,Intermediary,81600.0,48000.0,1.7,280461,Polysilicon
2020-03-01,Adversary,6717701.0,210951.205,31.844809798550337,280461,Polysilicon
2020-03-01,Intermediary,29403.0,137.025,214.58128078817734,280461,Polysilicon
2020-04-01,Adversary,5476936.0,169581.0,32.29687288080622,280461,Polysilicon
2020-04-01,Intermediary,87550.0,645.0,135.73643410852713,280461,Polysilicon
2020-05-01,Adversary,4528911.0,72029.543,62.875742526923986,280461,Polysilicon
2020-05-01,Intermediary,170720.0,16470.0,10.365513054037644,280461,Polysilicon
2020-06-01,Adversary,6163470.0,174066.528,35.40870304484961,280461,Polysilicon
2020-06-01,Intermediary,78733.0,14452.0,5.447896484915582,280461,Polysilicon
2020-07-01,Adversary,8196234.0,228648.0,35.846515167418914,280461,Polysilicon
2020-07-01,Intermediary,47257.0,214.56,220.2507457121551,280461,Polysilicon
2020-08-01,Adversary,5321116.0,44474.603,119.64392352192553,280461,Polysilicon
2020-08-01,Intermediary,94885.0,678.748,139.79415040633637,280461,Polysilicon
2020-09-01,Adversary,5789315.0,47438.632,122.03798372600627,280461,Polysilicon
2020-09-01,Intermediary,104153.0,585.0,178.03931623931624,280461,Polysilicon
2020-10-01,Adversary,6151929.0,92387.0,66.58868671999308,280461,Polysilicon
2020-10-01,Intermediary,415761.0,36139.152,11.50444813979033,280461,Polysilicon
2020-11-01,Adversary,8368595.0,385579.0,21.703969873877988,280461,Polysilicon
2020-11-01,Intermediary,109024.0,48563.998,2.2449552032351208,280461,Polysilicon
2020-12-01,Adversary,6364206.0,91943.216,69.2188752675347,280461,Polysilicon
